,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,weather.id,weather.main,weather.description,city_name,sys.type,sys.id,rain.1h
847,10000.0,120.9667,15.4833,24.49,25.21,24.49,24.49,1011.0,85.0,1011.0,1007.0,0.54,261.0,0.6,58.0,803.0,Clouds,broken clouds,Cabanatuan City,1.4955972752948994,1015018.9393586975,2.3390538143110584
848,10000.0,121.1262,14.2726,27.85,33.11,27.21,28.28,1011.0,89.0,1011.0,1009.0,4.45,84.0,9.11,100.0,804.0,Clouds,overcast clouds,Cabuyao,2.0,2084056.0,2.3390538143110584
849,10000.0,123.2856,10.9506,27.38,31.2,27.38,27.38,1010.0,85.0,1010.0,1009.0,3.84,79.0,5.1,99.0,804.0,Clouds,overcast clouds,Cadiz,1.4955972752948994,1015018.9393586975,2.3390538143110584
850,10000.0,124.6472,8.4822,25.4,26.42,25.4,25.4,1009.0,93.0,1009.0,1008.0,2.82,207.0,3.6,100.0,804.0,Clouds,overcast clouds,Cagayan de Oro,1.4955972752948994,1015018.9393586975,2.3390538143110584
851,10000.0,120.8133,13.9324,25.77,26.65,25.77,25.77,1011.0,86.0,1011.0,1008.0,2.8,70.0,9.5,100.0,804.0,Clouds,overcast clouds,Calaca,1.4955972752948994,1015018.9393586975,2.3390538143110584
852,10000.0,121.1653,14.2117,27.59,32.19,27.21,27.97,1011.0,88.0,1011.0,1010.0,4.31,86.0,9.4,100.0,500.0,Rain,light rain,Calamba,2.0,2084056.0,0.12
853,10000.0,121.1803,13.4117,27.28,30.83,27.28,27.28,1011.0,84.0,1011.0,1010.0,5.93,132.0,7.7,100.0,804.0,Clouds,overcast clouds,Calapan,2.0,2011004.0,2.3390538143110584
854,10000.0,124.6,12.0667,25.4,26.53,25.4,25.4,1010.0,97.0,1010.0,1010.0,1.67,55.0,8.9,88.0,804.0,Clouds,overcast clouds,Calbayog City,1.4955972752948994,1015018.9393586975,2.3390538143110584
855,10000.0,120.9667,14.65,27.83,31.82,27.27,28.03,1012.0,81.0,1011.5388596412956,1003.3290800392612,1.03,0.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Caloocan City,2.0,2008256.0,2.3390538143110584
856,10000.0,120.4517,17.1947,27.9,30.6,27.9,27.9,1011.0,71.0,1011.0,1010.0,3.84,69.0,4.1,13.0,801.0,Clouds,few clouds,Candon,1.4955972752948994,1015018.9393586975,2.3390538143110584
857,10000.0,123.1964,10.3864,22.45,23.02,22.45,22.45,1010.0,87.0,1010.0,948.0,2.12,103.0,2.1,93.0,804.0,Clouds,overcast clouds,Canlaon,1.4955972752948994,1015018.9393586975,2.3390538143110584
858,4581.0,123.6402,10.1061,27.98,32.52,27.98,27.98,1009.0,83.0,1009.0,1008.0,1.93,44.0,1.9,100.0,804.0,Clouds,overcast clouds,Carcar,1.0,8187.0,2.3390538143110584
859,10000.0,121.0576,14.3132,27.5,31.79,27.14,27.9,1011.0,87.0,1011.5388596412956,1003.3290800392612,1.79,64.0,1.79,99.0,804.0,Clouds,overcast clouds,Carmona,2.0,2084056.0,2.3390538143110584
860,10000.0,124.8861,11.7753,25.62,26.64,25.62,25.62,1010.0,92.0,1010.0,1005.0,2.43,55.0,6.78,100.0,804.0,Clouds,overcast clouds,Catbalogan,1.4955972752948994,1015018.9393586975,2.3390538143110584
